320506,吴中区,512,苏州市,320000,江苏省
320505,虎丘区,512,苏州市,320000,江苏省
320508,姑苏区,512,苏州市,320000,江苏省
320507,相城区,512,苏州市,320000,江苏省
320509,吴江区,512,苏州市,320000,江苏省
331102,莲都区,578,丽水市,330000,浙江省
331121,青田县,578,丽水市,330000,浙江省
331122,缙云县,578,丽水市,330000,浙江省
331123,遂昌县,578,丽水市,330000,浙江省
331124,松阳县,578,丽水市,330000,浙江省
331125,云和县,578,丽水市,330000,浙江省
331126,庆元县,578,丽水市,330000,浙江省
331127,景宁畲族自治县,578,丽水市,330000,浙江省
331181,龙泉市,578,丽水市,330000,浙江省
320703,连云区,518,连云港市,320000,江苏省
320706,海州区,518,连云港市,320000,江苏省
320707,赣榆区,518,连云港市,320000,江苏省
320722,东海县,518,连云港市,320000,江苏省
320723,灌云县,518,连云港市,320000,江苏省
320724,灌南县,518,连云港市,320000,江苏省
340503,花山区,555,马鞍山市,340000,安徽省
340504,雨山区,555,马鞍山市,340000,安徽省
340506,博望区,555,马鞍山市,340000,安徽省
340521,当涂县,555,马鞍山市,340000,安徽省
340522,含山县,555,马鞍山市,340000,安徽省
340523,和县,555,马鞍山市,340000,安徽省
320102,玄武区,25,南京市,320000,江苏省
320104,秦淮区,25,南京市,320000,江苏省
320105,建邺区,25,南京市,320000,江苏省
320106,鼓楼区,25,南京市,320000,江苏省
320111,浦口区,25,南京市,320000,江苏省
320113,栖霞区,25,南京市,320000,江苏省
320114,雨花台区,25,南京市,320000,江苏省
320115,江宁区,25,南京市,320000,江苏省
320116,六合区,25,南京市,320000,江苏省
320117,溧水区,25,南京市,320000,江苏省
320118,高淳区,25,南京市,320000,江苏省
320612,通州区,513,南通市,320000,江苏省
320613,崇川区,513,南通市,320000,江苏省
320614,海门区,513,南通市,320000,江苏省
310101,黄浦区,21,上海市,310000,上海市
310104,徐汇区,21,上海市,310000,上海市
310105,长宁区,21,上海市,310000,上海市
310106,静安区,21,上海市,310000,上海市
310107,普陀区,21,上海市,310000,上海市
310109,虹口区,21,上海市,310000,上海市
310110,杨浦区,21,上海市,310000,上海市
310112,闵行区,21,上海市,310000,上海市
310113,宝山区,21,上海市,310000,上海市
310114,嘉定区,21,上海市,310000,上海市
310115,浦东新区,21,上海市,310000,上海市
310116,金山区,21,上海市,310000,上海市
310117,松江区,21,上海市,310000,上海市
310118,青浦区,21,上海市,310000,上海市
310120,奉贤区,21,上海市,310000,上海市
330602,越城区,575,绍兴市,330000,浙江省
330603,柯桥区,575,绍兴市,330000,浙江省
330604,上虞区,575,绍兴市,330000,浙江省
330681,诸暨市,575,绍兴市,330000,浙江省
321302,宿城区,527,宿迁市,320000,江苏省
321311,宿豫区,527,宿迁市,320000,江苏省
321322,沭阳县,527,宿迁市,320000,江苏省
321323,泗阳县,527,宿迁市,320000,江苏省
321324,泗洪县,527,宿迁市,320000,江苏省
340811,宜秀区,556,安庆市,340000,安徽省
340802,迎江区,556,安庆市,340000,安徽省
340803,大观区,556,安庆市,340000,安徽省
340302,龙子湖区,552,蚌埠市,340000,安徽省
340311,淮上区,552,蚌埠市,340000,安徽省
340304,禹会区,552,蚌埠市,340000,安徽省
340303,蚌山区,552,蚌埠市,340000,安徽省
340322,五河县,552,蚌埠市,340000,安徽省
340321,怀远县,552,蚌埠市,340000,安徽省
